model,observations,r_squared,adjusted_r_squared,within_r_squared,within_adjusted_r_squared,joint_regressor_f_statistic,joint_regressor_p_value,bp_style_statistic,bp_style_p_value
OLS: bivariate,200,0.728809367076284,0.7274397174150531,NA,NA,373.18542437446126,1.9645359679259723e-47,23.997164877391093,9.64776599497387e-7
OLS: + capital control,200,0.8617921154761704,0.860388989744964,NA,NA,541.4932053510809,8.814454243665804e-81,0.5062408823300345,0.47677069302116565
Firm FE,200,0.9605457195727535,0.958237224441372,0.5644098229800385,0.5597758849266347,62.01170985659932,5.450229688280509e-6,21.135913947219322,4.278344166118534e-6
Firm + Year FE,200,0.9786402798462804,0.9748486135468036,0.12193873500648955,0.11154747743260185,7.317791720830053,0.012973071740228367,18.00939289778503,2.198176758409566e-5
Lagged covariates FE,190,0.9771402470645122,0.972996916844955,0.019233563064957382,0.006973982603269313,1.1289772747884026,0.3651939574044363,15.280342021355594,9.267597001842186e-5
