model,term,estimate,std.error,statistic,p.value,conf.low,conf.high
Winsorized FE,log_value_winsor,0.3302556790969039,0.18312298007922642,1.8034638741354139,0.10481435335595451,-0.08399728196227113,0.744508640156079
Winsorized FE,log_capital_winsor,0.0850739105814038,0.05744218143480704,1.4810355118208192,0.1727347068278142,-0.04486933159809901,0.2150171527609066
First differences,(Intercept),0.054344542781196006,0.0075529191623666565,7.19517071650579,5.1098147516629586e-5,0.037258652598012455,0.07143043296437956
First differences,delta_log_value,0.5788460171789351,0.06986944637208371,8.284680174741053,1.6721988838148467e-5,0.4207903486075809,0.7369016857502894
First differences,delta_log_capital,-0.07291655807310264,0.030414525872998293,-2.3974254399881083,0.04006665612778407,-0.14171899562981705,-0.004114120516388223
